code,name,kana,market,industry,kana
2884,ヨシムラ・フード・ホールディングス,ヨシムラ・フード・ホールディングス,東証プライム,食料品,ヨシムラ・フード・ホールディングス
2897,日清食品ホールディングス,ニッシンショクヒンホールディングス,東証プライム,食料品,ニッシンショクヒンホールディングス
2908,フジッコ,フジッコ,東証プライム,食料品,フジッコ
2910,ロック・フィールド,ロック・フィールド,東証プライム,食料品,ロック・フィールド
2914,日本たばこ産業,ニホンタバコサンギョウ,東証プライム,食料品,ニホンタバコサンギョウ
2915,ケンコーマヨネーズ,ケンコーマヨネーズ,東証プライム,食料品,ケンコーマヨネーズ
2918,わらべや日洋ホールディングス,ワラベヤニチヨウホールディングス,東証プライム,食料品,ワラベヤニチヨウホールディングス
2922,なとり,ナトリ,東証プライム,食料品,ナトリ
2929,ファーマフーズ,ファーマフーズ,東証プライム,食料品,ファーマフーズ
2930,北の達人コーポレーション,キタノタツジンコーポレーション,東証プライム,化学,キタノタツジンコーポレーション
2931,ユーグレナ,ユーグレナ,東証プライム,食料品,ユーグレナ
2933,紀文食品,キブンショクヒン,東証プライム,食料品,キブンショクヒン
2935,ピックルスホールディングス,ピックルスホールディングス,東証プライム,食料品,ピックルスホールディングス
2975,スター・マイカ・ホールディングス,スター・マイカ・ホールディングス,東証プライム,不動産業,スター・マイカ・ホールディングス
2980,ＳＲＥホールディングス,ＳＲＥホールディングス,東証プライム,不動産業,ＳＲＥホールディングス
2982,ＡＤワークスグループ,ＡＤワークスグループ,東証プライム,不動産業,ＡＤワークスグループ
3002,グンゼ,グンゼ,東証プライム,繊維製品,グンゼ
3003,ヒューリック,ヒューリック,東証プライム,不動産業,ヒューリック
3028,アルペン,アルペン,東証プライム,小売業,アルペン
3031,ラクーンホールディングス,ラクーンホールディングス,東証プライム,情報・通信業,ラクーンホールディングス
3034,クオールホールディングス,クオールホールディングス,東証プライム,小売業,クオールホールディングス
3036,アルコニックス,アルコニックス,東証プライム,卸売業,アルコニックス
3038,神戸物産,カンベブッサン,東証プライム,卸売業,カンベブッサン
3040,ソリトンシステムズ,ソリトンシステムズ,東証プライム,情報・通信業,ソリトンシステムズ
3046,ジンズホールディングス,ジンズホールディングス,東証プライム,小売業,ジンズホールディングス
3048,ビックカメラ,ビックカメラ,東証プライム,小売業,ビックカメラ
3050,ＤＣＭホールディングス,ＤＣＭホールディングス,東証プライム,小売業,ＤＣＭホールディングス
3064,ＭｏｎｏｔａＲＯ,ＭｏｎｏｔａＲＯ,東証プライム,小売業,ＭｏｎｏｔａＲＯ
3076,あい　ホールディングス,アイ　ホールディングス,東証プライム,卸売業,アイ　ホールディングス
3086,Ｊ．フロント　リテイリング,Ｊ．フロント　リテイリング,東証プライム,小売業,Ｊ．フロント　リテイリング
3087,ドトール・日レスホールディングス,ドトール・ヒレスホールディングス,東証プライム,小売業,ドトール・ヒレスホールディングス
3088,マツキヨココカラ＆カンパニー,マツキヨココカラ＆カンパニー,東証プライム,小売業,マツキヨココカラ＆カンパニー
3091,ブロンコビリー,ブロンコビリー,東証プライム,小売業,ブロンコビリー
